soil_type,growth_stage,water_balance_index,weather_risk_index,irrigation_system_type,rice_variety_code,is_weather_estimated,strategy,water_saving_percent,expected_yield_ton_per_ha,yield_baseline_ton_per_ha,ch4_reduction_percent,n2o_change_percent,net_gwp_reduction_percent
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,CIHERANG,0,DELAYED_IRRIGATION,8.0,5.94,6.0,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,CIHERANG,0,DELAYED_IRRIGATION,8.0,5.94,6.0,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,INPARI_32,0,DELAYED_IRRIGATION,8.0,6.43,6.5,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,IR64,0,DELAYED_IRRIGATION,8.0,5.45,5.5,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,IR64,0,DELAYED_IRRIGATION,8.0,5.45,5.5,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,IR64,0,DELAYED_IRRIGATION,8.0,5.45,5.5,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,CIHERANG,0,DELAYED_IRRIGATION,8.0,5.94,6.0,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,MEKONGGA,0,DELAYED_IRRIGATION,8.0,6.73,6.8,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,CIHERANG,0,DELAYED_IRRIGATION,8.0,5.94,6.0,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,MEKONGGA,0,DELAYED_IRRIGATION,8.0,6.73,6.8,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,INPARI_42_AGRITAN_GSR,0,DELAYED_IRRIGATION,8.0,6.14,6.2,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,CIHERANG,0,DELAYED_IRRIGATION,8.0,5.94,6.0,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,CIHERANG,0,DELAYED_IRRIGATION,8.0,5.94,6.0,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,CIHERANG,0,DELAYED_IRRIGATION,8.0,5.94,6.0,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,IR64,0,DELAYED_IRRIGATION,8.0,5.45,5.5,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,IR64,0,DELAYED_IRRIGATION,8.0,5.45,5.5,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,MEKONGGA,0,DELAYED_IRRIGATION,8.0,6.73,6.8,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,MEKONGGA,0,DELAYED_IRRIGATION,8.0,6.73,6.8,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,CIHERANG,0,DELAYED_IRRIGATION,8.0,5.94,6.0,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,MEKONGGA,0,DELAYED_IRRIGATION,8.0,6.73,6.8,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,IR64,0,DELAYED_IRRIGATION,8.0,5.45,5.5,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,MEKONGGA,0,DELAYED_IRRIGATION,8.0,6.73,6.8,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,INPARI_42_AGRITAN_GSR,0,DELAYED_IRRIGATION,8.0,6.14,6.2,10.0,3.0,3.12
SANDY,LAND_PREPARATION,DEFICIT,NORMAL,TECHNICAL,IR64,0,DELAYED_IRRIGATION,8.0,5.45,5.5,10.0,3.0,3.12
